Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.000    0.000 cm.py:35(revcmap)
        1    0.000    0.000    0.001    0.001 _policybase.py:4(<module>)
      510    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       13    0.000    0.000    0.007    0.001 _distn_infrastructure.py:2717(_construct_docstrings)
      134    0.000    0.000    0.032    0.000 re.py:222(compile)
       22    0.000    0.000    0.000    0.000 version.py:307(parse)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       38    0.000    0.000    0.000    0.000 __init__.py:95(_cnfmerge)
       90    0.000    0.000    0.000    0.000 lines.py:1270(set_solid_joinstyle)
      184    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        6    0.000    0.000    0.001    0.000 patches.py:41(__init__)
        8    0.000    0.000    0.021    0.003 axis.py:1388(get_major_ticks)
       97    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
       75    0.000    0.000    0.000    0.000 cm.py:52(_reverse_cmap_spec)
      586    0.000    0.000    0.000    0.000 inspect.py:2743(return_annotation)
      164    0.000    0.000    0.000    0.000 font_manager.py:892(_normalize_font_family)
        1    0.000    0.000    0.000    0.000 datetimelike.py:246(DatetimeIndexOpsMixin)
       12    0.000    0.000    0.017    0.001 __init__.py:2129(__init__)
       23    0.000    0.000    0.000    0.000 function.py:31(__init__)
        1    0.000    0.000    0.004    0.004 offsets.py:2(<module>)
       16    0.000    0.000    0.000    0.000 transforms.py:404(height)
        8    0.000    0.000    0.000    0.000 ticker.py:1756(scale_range)
       16    0.000    0.000    0.003    0.000 rcsetup.py:740(cycler)
        1    0.000    0.000    0.000    0.000 offsets.py:2214(Tick)
        2    0.000    0.000    0.000    0.000 __init__.py:988(delete_masked_points)
       24    0.000    0.000    0.000    0.000 dviread.py:155(decorate)
       15    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
        1    0.000    0.000    0.008    0.008 font_manager.py:21(<module>)
       11    0.000    0.000    0.002    0.000 decorator.py:202(create)
        4    0.000    0.000    0.005    0.001 axis.py:2536(get_tick_space)
       16    0.000    0.000    0.000    0.000 _base.py:3032(_validate_converted_limits)
       40    0.000    0.000    0.000    0.000 transforms.py:378(intervalx)
       25    0.000    0.000    0.001    0.000 markers.py:759(_set_tickright)
      278    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
       22    0.000    0.000    0.002    0.000 traceback.py:196(extract_stack)
       21    0.000    0.000    0.001    0.000 markers.py:773(_set_tickdown)
      140    0.000    0.000    0.000    0.000 transforms.py:2236(get_affine)
        2    0.000    0.000    0.000    0.000 coo.py:254(_check)
       16    0.000    0.000    0.018    0.001 axis.py:2189(_get_tick)
      164    0.000    0.000    0.000    0.000 rcsetup.py:399(validate_string)
        1    0.000    0.000    0.006    0.006 mathtext.py:16(<module>)
       46    0.000    0.000    0.000    0.000 re.py:240(escape)
        2    0.000    0.000    0.000    0.000 textpath.py:32(__init__)
        1    0.000    0.000    0.000    0.000 groupby.py:563(_GroupBy)
      121    0.000    0.000    0.000    0.000 _util.py:173(check_random_state)
        1    0.000    0.000    0.000    0.000 tarfile.py:717(TarInfo)
      153    0.000    0.000    0.000    0.000 __init__.py:1876(_str_equal)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        9    0.000    0.000    0.004    0.000 patches.py:124(contains)
        6    0.000    0.000    0.000    0.000 _base.py:2421(<listcomp>)
      150    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       80    0.000    0.000    0.001    0.000 axis.py:311(set_label1)
        1    0.000    0.000    0.061    0.061 _converter.py:1(<module>)
       80    0.000    0.000    0.001    0.000 axis.py:324(set_label2)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       30    0.000    0.000    0.000    0.000 rcsetup.py:288(__call__)
        3    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      186    0.000    0.000    0.000    0.000 stride_tricks.py:254(<genexpr>)
      447    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      292    0.000    0.000    0.000    0.000 artist.py:792(get_rasterized)
       22    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
       14    0.000    0.000    0.017    0.001 axis.py:1813(_get_tick)
        1    0.000    0.000    0.046    0.046 __init__.py:25(<module>)
        1    0.000    0.000    0.190    0.190 __init__.py:342(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:13(Spine)
       11    0.000    0.000    0.000    0.000 sputils.py:120(get_index_dtype)
       32    0.000    0.000    0.000    0.000 warnings.py:371(__enter__)
       29    0.000    0.000    0.000    0.000 patches.py:698(_convert_units)
      168    0.000    0.000    0.000    0.000 pyparsing.py:3248(<genexpr>)
        1    0.000    0.000    0.025    0.025 _axes.py:1(<module>)
       12    0.000    0.000    0.002    0.000 axis.py:797(cla)
       48    0.000    0.000    0.001    0.000 config.py:726(inner)
        4    0.000    0.000    0.000    0.000 compressed.py:128(check_format)
       80    0.000    0.000    0.000    0.000 artist.py:782(_set_gc_clip)
       32    0.000    0.000    0.000    0.000 transforms.py:2760(__init__)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       59    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.000    0.000 polar.py:833(PolarAxes)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:203(__init__)
        4    0.000    0.000    0.000    0.000 ssl.py:115(_import_symbols)
       11    0.000    0.000    0.000    0.000 decorator.py:152(update)
       66    0.000    0.000    0.001    0.000 traceback.py:279(line)
      2/1    0.000    0.000    0.120    0.120 backend_tkagg.py:8(draw)
       27    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
        3    0.000    0.000    0.003    0.001 __init__.py:9(<module>)
      158    0.000    0.000    0.000    0.000 _decorators.py:241(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2702(Menu)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       27    0.000    0.000    0.000    0.000 locale.py:627(getpreferredencoding)
        1    0.000    0.000    0.008    0.008 patches.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:2928(__array_finalize__)
        1    0.000    0.000    0.020    0.020 __init__.py:266(<module>)
      124    0.000    0.000    0.000    0.000 backend_bases.py:953(set_foreground)
       12    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.008    0.008 algorithms.py:4(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1086(_legacy_get_spec)
       26    0.000    0.000    0.000    0.000 __init__.py:958(get_siblings)
        8    0.000    0.000    0.000    0.000 spines.py:203(_adjust_location)
        2    0.000    0.000    0.111    0.056 figure.py:1618(draw)
       16    0.000    0.000    0.000    0.000 __init__.py:620(__setitem__)
        8    0.000    0.000    0.000    0.000 ticker.py:704(_set_orderOfMagnitude)
        6    0.000    0.000    0.000    0.000 colors.py:225(to_rgba_array)
        1    0.000    0.000    0.091    0.091 colorbar.py:20(<module>)
     16/8    0.000    0.000    0.000    0.000 units.py:140(get_converter)
        1    0.000    0.000    0.000    0.000 _distr_params.py:3(<module>)
        1    0.000    0.000    0.001    0.001 figure.py:280(__init__)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
       67    0.000    0.000    0.000    0.000 text.py:973(set_horizontalalignment)
      124    0.000    0.000    0.000    0.000 pyparsing.py:2131(__str__)
       78    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 figure.py:80(as_list)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2182(__hash__)
        1    0.000    0.000    0.006    0.006 dates.py:134(<module>)
        1    0.000    0.000    0.003    0.003 packers.py:39(<module>)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 pytables.py:1790(DataCol)
       88    0.000    0.000    0.001    0.000 docstring.py:122(<lambda>)
       32    0.000    0.000    0.000    0.000 lines.py:679(_transform_path)
        1    0.000    0.000    0.000    0.000 synchronize.py:51(__init__)
       96    0.000    0.000    0.000    0.000 transforms.py:2184(_get_is_affine)
        1    0.000    0.000    0.007    0.007 utils.py:4(<module>)
       76    0.000    0.000    0.000    0.000 transforms.py:2204(transform_non_affine)
       14    0.000    0.000    0.000    0.000 ticker.py:597(format_data_short)
        2    0.000    0.000    0.109    0.054 _base.py:2532(draw)
       64    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       22    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:728(GraphicsContextBase)
      128    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.018    0.018 _backend_tk.py:654(_init_toolbar)
        1    0.000    0.000    0.006    0.006 ssl.py:88(<module>)
       67    0.000    0.000    0.000    0.000 text.py:1162(set_verticalalignment)
       16    0.000    0.000    0.000    0.000 axis.py:540(apply_tickdir)
      430    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
       16    0.000    0.000    0.000    0.000 axis.py:820(reset_ticks)
        1    0.000    0.000    0.008    0.008 parallel.py:3(<module>)
       52    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.001    0.001 multi.py:131(MultiIndex)
        1    0.000    0.000    0.159    0.159 distributions.py:8(<module>)
        1    0.000    0.000    0.001    0.001 window.py:1713(Expanding)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       32    0.000    0.000    0.000    0.000 markers.py:260(__bool__)
      4/3    0.000    0.000    0.000    0.000 base.py:255(__new__)
        1    0.000    0.000    0.000    0.000 internals.py:2293(ObjectBlock)
        1    0.000    0.000    0.002    0.002 colors.py:45(<module>)
        1    0.000    0.000    0.017    0.017 _base.py:409(__init__)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:1(<module>)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1882(__init__)
      197    0.000    0.000    0.000    0.000 transforms.py:1705(_get_is_affine)
      144    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.012    0.012 interpolate.py:2(<module>)
       22    0.000    0.000    0.002    0.000 pyparsing.py:1024(extract_stack)
      132    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
       67    0.000    0.000    0.000    0.000 text.py:1230(set_usetex)
       48    0.000    0.000    0.000    0.000 text.py:1194(is_math_text)
       12    0.000    0.000    0.001    0.000 generic.py:9638(_make_cum_function)
      6/4    0.000    0.000    0.002    0.001 series.py:166(__init__)
       58    0.000    0.000    0.004    0.000 pyparsing.py:3270(<listcomp>)
       21    0.000    0.000    0.001    0.000 markers.py:767(_set_tickup)
        9    0.000    0.000    0.002    0.000 path.py:470(contains_point)
        1    0.000    0.000    0.000    0.000 dbscan.py:24(<listcomp>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.122    0.122 _backend_tk.py:250(resize)
       97    0.000    0.000    0.000    0.000 ops.py:223(_gen_fill_zeros)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
       64    0.000    0.000    0.000    0.000 backend_agg.py:261(points_to_pixels)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
       16    0.000    0.000    0.002    0.000 ticker.py:1821(__init__)
        8    0.000    0.000    0.012    0.002 ticker.py:1987(tick_values)
       80    0.000    0.000    0.000    0.000 backend_bases.py:1022(get_hatch_path)
        2    0.000    0.000    0.005    0.003 _backend_tk.py:69(blit)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
      292    0.000    0.000    0.000    0.000 artist.py:811(get_agg_filter)
        1    0.000    0.000    0.001    0.001 ops.py:5(<module>)
      4/2    0.000    0.000    0.109    0.054 image.py:120(_draw_list_compositing_images)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:91(_var)
        8    0.000    0.000    0.000    0.000 _methods.py:151(_ptp)
       23    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
       90    0.000    0.000    0.000    0.000 lines.py:1120(set_markeredgecolor)
        8    0.000    0.000    0.007    0.001 axis.py:840(set_tick_params)
       56    0.000    0.000    0.000    0.000 base.py:128(_make_arithmetic_op)
        1    0.000    0.000    0.004    0.004 panel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1313(is_dir)
       12    0.000    0.000    0.000    0.000 __init__.py:2104(_setup)
       32    0.000    0.000    0.000    0.000 warnings.py:388(__exit__)
       65    0.000    0.000    0.000    0.000 font_manager.py:1006(get_default_size)
      264    0.000    0.000    0.000    0.000 artist.py:724(get_visible)
       14    0.000    0.000    0.000    0.000 axis.py:417(apply_tickdir)
      428    0.000    0.000    0.000    0.000 font_manager.py:676(get_size)
       26    0.000    0.000    0.001    0.000 core.py:6558(getdoc)
       84    0.000    0.000    0.000    0.000 pyparsing.py:2346(__init__)
        1    0.000    0.000    0.006    0.006 format.py:5(<module>)
       65    0.000    0.000    0.000    0.000 font_manager.py:729(set_variant)
        1    0.000    0.000    0.004    0.004 image.py:4(<module>)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3417(<genexpr>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        9    0.000    0.000    0.004    0.000 _base.py:2115(in_axes)
        2    0.000    0.000    0.000    0.000 {pandas._libs.lib.clean_index_list}
        1    0.000    0.000    0.002    0.002 request.py:68(<module>)
        1    0.000    0.000    0.192    0.192 data.py:9(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:173(Dvi)
       15    0.000    0.000    0.000    0.000 rcsetup.py:906(validate_animation_writer_path)
        1    0.000    0.000    0.001    0.001 datetimelike.py:4(<module>)
        6    0.000    0.000    0.004    0.001 ops.py:875(add_special_arithmetic_methods)
        1    0.000    0.000    0.043    0.043 figure.py:12(<module>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
       39    0.000    0.000    0.000    0.000 transforms.py:386(intervaly)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.006    0.006 memory.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:653(<listcomp>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        4    0.000    0.000    0.001    0.000 _base.py:3050(set_xlim)
        8    0.000    0.000    0.002    0.000 axis.py:1853(_get_pixel_distance_along_axis)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       28    0.000    0.000    0.000    0.000 pyparsing.py:2720(__str__)
       18    0.000    0.000    0.024    0.001 pyparsing.py:3917(parseImpl)
        8    0.000    0.000    0.005    0.001 backend_bases.py:1466(__init__)
       38    0.000    0.000    0.001    0.000 fromnumeric.py:2016(all)
        1    0.000    0.000    0.001    0.001 panel.py:107(Panel)
        1    0.000    0.000    0.001    0.001 pydoc.py:40(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:11(<module>)
        8    0.000    0.000    0.001    0.000 base.py:4839(_make_logical_function)
       22    0.000    0.000    0.000    0.000 transforms.py:2525(get_matrix)
        1    0.000    0.000    0.007    0.007 mstats_basic.py:4(<module>)
       29    0.000    0.000    0.000    0.000 numeric.py:2896(__exit__)
       78    0.000    0.000    0.001    0.000 _methods.py:26(_amax)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
       22    0.000    0.000    0.000    0.000 artist.py:32(allow_rasterization)
       55    0.000    0.000    0.000    0.000 rcsetup.py:939(_validate_linestyle)
        3    0.000    0.000    0.000    0.000 six.py:814(wrapper)
       12    0.000    0.000    0.005    0.000 artist.py:1094(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1864(_topmost_artist)
       30    0.000    0.000    0.003    0.000 lines.py:939(get_path)
       65    0.000    0.000    0.000    0.000 font_manager.py:705(set_family)
       66    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        7    0.000    0.000    0.000    0.000 _base.py:3673(format_xdata)
       32    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}
      141    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       13    0.000    0.000    0.000    0.000 __init__.py:429(destroy)
       16    0.000    0.000    0.000    0.000 axis.py:1603(set_major_locator)
       65    0.000    0.000    0.000    0.000 font_manager.py:718(set_style)
        7    0.000    0.000    0.000    0.000 __init__.py:162(connect)
        1    0.000    0.000    0.176    0.176 api.py:5(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:1573(_preprocess_data)
       12    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
        1    0.000    0.000    0.003    0.003 categorical.py:3(<module>)
       34    0.000    0.000    0.000    0.000 font_manager.py:824(copy)
       96    0.000    0.000    0.000    0.000 transforms.py:2734(get_matrix)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4853(_makeTags)
        6    0.000    0.000    0.001    0.000 patches.py:1803(_pprint_table)
       96    0.000    0.000    0.001    0.000 fromnumeric.py:2803(round_)
      336    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 groupby.py:3409(SeriesGroupBy)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
        1    0.000    0.000    0.010    0.010 __init__.py:220(<module>)
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
       29    0.000    0.000    0.000    0.000 numeric.py:2891(__enter__)
        4    0.000    0.000    0.162    0.040 __init__.py:2(<module>)
        1    0.000    0.000    0.001    0.001 blas.py:202(<module>)
        4    0.000    0.000    0.000    0.000 base.py:4710(_add_numeric_methods_binary)
     45/1    0.000    0.000    0.000    0.000 copy.py:137(deepcopy)
      224    0.000    0.000    0.000    0.000 patches.py:1814(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:57(__init__)
        1    0.000    0.000    0.001    0.001 period.py:2(<module>)
      192    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.012    0.002 ticker.py:1983(__call__)
        1    0.000    0.000    0.031    0.031 text.py:3(<module>)
        1    0.000    0.000    0.005    0.005 morestats.py:1(<module>)
       10    0.000    0.000    0.000    0.000 getlimits.py:71(<lambda>)
        1    0.000    0.000   54.047   54.047 dbscan.py:12(cluster)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:409(_init)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2685(parseImpl)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       86    0.000    0.000    0.000    0.000 rcsetup.py:201(validate_int)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:72(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1545(resetCache)
       97    0.000    0.000    0.000    0.000 transforms.py:1729(__array__)
       32    0.000    0.000    0.001    0.000 shape_base.py:283(<listcomp>)
        2    0.000    0.000    0.207    0.103 __init__.py:4(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       32    0.000    0.000    0.000    0.000 lines.py:871(get_markeredgecolor)
      352    0.000    0.000    0.000    0.000 font_manager.py:682(get_size_in_points)
        1    0.000    0.000    0.000    0.000 core.py:2707(MaskedArray)
       38    0.000    0.000    0.000    0.000 colors.py:772(__init__)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        5    0.000    0.000    0.000    0.000 _base.py:4088(get_children)
        1    0.000    0.000    0.041    0.041 __init__.py:1851(__init__)
       67    0.000    0.000    0.000    0.000 six.py:110(__init__)
       12    0.000    0.000    0.002    0.000 backend_agg.py:120(draw_path)
       22    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3412(__str__)
        1    0.000    0.000    0.000    0.000 pydoc.py:1663(Helper)
    33/10    0.000    0.000    0.007    0.001 pyparsing.py:3721(leaveWhitespace)
        8    0.000    0.000    0.001    0.000 axis.py:2232(_get_pixel_distance_along_axis)
        4    0.000    0.000    0.001    0.000 spines.py:36(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:792(<dictcomp>)
        1    0.000    0.000    0.001    0.001 series.py:39(SparseSeries)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:125(PeriodIndex)
        1    0.000    0.000    0.001    0.001 data.py:659(transform)
       30    0.000    0.000    0.000    0.000 axis.py:190(_set_labelrotation)
        2    0.000    0.000    0.001    0.000 collections.py:94(__init__)
      428    0.000    0.000    0.000    0.000 font_manager.py:1079(score_variant)
        1    0.000    0.000    0.001    0.001 category.py:32(CategoricalIndex)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
       30    0.000    0.000    0.007    0.000 __init__.py:826(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:396(_AxesBase)
       16    0.000    0.000    0.000    0.000 ticker.py:193(_divmod)
        1    0.000    0.000    0.030    0.030 collections.py:10(<module>)
        1    0.000    0.000    0.000    0.000 interval.py:135(IntervalIndex)
        5    0.000    0.000    0.000    0.000 base.py:4634(_add_numeric_methods_disabled)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2409(parseImpl)
        1    0.000    0.000    0.000    0.000 datetimes.py:175(DatetimeIndex)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 ops.py:2(<module>)
        9    0.000    0.000    0.000    0.000 generic.py:9618(_make_stat_function_ddof)
        3    0.000    0.000    0.000    0.000 generic.py:236(_setup_axes)
       26    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 multi.py:3(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        3    0.000    0.000    0.004    0.001 _base.py:2377(autoscale_view)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
       56    0.000    0.000    0.000    0.000 patches.py:1911(_register_style)
        1    0.000    0.000    0.006    0.006 index_tricks.py:1(<module>)
        1    0.000    0.000    0.005    0.005 window.py:7(<module>)
       46    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:36(_wrapit)
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
        1    0.000    0.000    0.043    0.043 contour.py:3(<module>)
        2    0.000    0.000    0.019    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.001    0.001 patches.py:3094(ArrowStyle)
      137    0.000    0.000    0.000    0.000 pyparsing.py:2039(setWhitespaceChars)
       12    0.000    0.000    0.001    0.000 transforms.py:734(<listcomp>)
        1    0.000    0.000    0.009    0.009 _minimize.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1936(frechet_l_gen)
       27    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.005    0.005 mathtext.py:2202(Parser)
       44    0.000    0.000    0.001    0.000 core.py:149(get_object_signature)
       50    0.000    0.000    0.000    0.000 common.py:1835(_get_dtype_type)
       32    0.000    0.000    0.001    0.000 shape_base.py:236(hstack)
       28    0.000    0.000    0.000    0.000 transforms.py:2698(get_matrix)
        1    0.000    0.000    0.007    0.007 interval.py:1(<module>)
  128/120    0.000    0.000    0.000    0.000 spines.py:158(_ensure_position_is_set)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1831(frechet_r_gen)
       28    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      107    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       23    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(<listcomp>)
        1    0.000    0.000    0.014    0.014 __init__.py:172(<module>)
       54    0.000    0.000    0.000    0.000 base.py:61(is_dtype)
        1    0.000    0.000    0.003    0.003 frame.py:4(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:5(<module>)
       19    0.000    0.000    0.000    0.000 transforms.py:1025(__init__)
       15    0.000    0.000    0.000    0.000 common.py:1688(is_extension_array_dtype)
      222    0.000    0.000    0.000    0.000 text.py:881(get_text)
        1    0.000    0.000    0.003    0.003 backend_bases.py:33(<module>)
      150    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
      147    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 gridspec.py:91(get_grid_positions)
       36    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.007    0.007 legend.py:22(<module>)
      586    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.004    0.004 axis.py:3(<module>)
       16    0.000    0.000    0.002    0.000 ticker.py:2527(__init__)
        1    0.000    0.000    0.003    0.003 dviread.py:18(<module>)
       23    0.000    0.000    0.000    0.000 rcsetup.py:57(<dictcomp>)
       24    0.000    0.000    0.000    0.000 {built-in method math.log10}
        1    0.000    0.000    0.002    0.002 json.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1070(<listcomp>)
        1    0.000    0.000    0.005    0.005 cast.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extmath.py:3(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:15(<module>)
       64    0.000    0.000    0.000    0.000 lines.py:508(get_fillstyle)
       28    0.000    0.000    0.000    0.000 __init__.py:909(clean)
       17    0.000    0.000    0.000    0.000 transforms.py:793(unit)
        4    0.000    0.000    0.000    0.000 _base.py:3384(set_ylim)
        1    0.000    0.000    0.050    0.050 validation.py:1(<module>)
        1    0.000    0.000    0.020    0.020 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       92    0.000    0.000    0.000    0.000 textwrap.py:480(prefixed_lines)
        8    0.000    0.000    0.000    0.000 weakref.py:65(__call__)
       12    0.000    0.000    0.000    0.000 warnings.py:78(_add_filter)
      162    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      144    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
        1    0.000    0.000    0.012    0.012 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       66    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       81    0.000    0.000    0.000    0.000 utils.py:69(__init__)
        4    0.000    0.000    0.000    0.000 strings.py:1849(_pat_wrapper)
       89    0.000    0.000    0.000    0.000 docstring.py:98(do_copy)
       60    0.000    0.000    0.001    0.000 font_manager.py:628(__eq__)
