Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.003    0.000    0.003    0.000 {built-in method builtins.dir}
      282    0.003    0.000    0.004    0.000 sre_compile.py:248(_optimize_charset)
4153/3355    0.003    0.000    0.005    0.000 artist.py:225(stale)
      377    0.002    0.000    0.006    0.000 colors.py:168(_to_rgba_no_colorcycle)
     1795    0.002    0.000    0.041    0.000 __init__.py:829(__setitem__)
      428    0.002    0.000    0.003    0.000 font_manager.py:1108(score_weight)
     2699    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.zeros}
       12    0.002    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2640    0.002    0.000    0.008    0.000 core.py:1645(make_mask_none)
     1693    0.002    0.000    0.007    0.000 {built-in method builtins.any}
     2671    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xa3ee00}
      428    0.002    0.000    0.002    0.000 font_manager.py:1090(score_stretch)
      790    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
    10732    0.002    0.000    0.003    0.000 mathtext.py:2739(<genexpr>)
       87    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      340    0.002    0.000    0.022    0.000 _util.py:269(getargspec_no_self)
     4695    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     6410    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
       94    0.002    0.000    0.043    0.000 __init__.py:356(namedtuple)
       90    0.002    0.000    0.019    0.000 lines.py:277(__init__)
      808    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:321(__exit__)
     2647    0.002    0.000    0.003    0.000 core.py:1312(_replace_dtype_fields)
    662/8    0.002    0.000    0.827    0.103 <frozen importlib._bootstrap_external>:659(exec_module)
      428    0.002    0.000    0.004    0.000 font_manager.py:1029(score_family)
      111    0.002    0.000    0.030    0.000 _distn_infrastructure.py:626(_construct_argparser)
        3    0.002    0.001    0.004    0.001 decoder.py:345(raw_decode)
     3692    0.002    0.000    0.003    0.000 sre_parse.py:157(__getitem__)
     2322    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1043    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:163(__enter__)
    16916    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     1301    0.002    0.000    0.010    0.000 colors.py:134(to_rgba)
       64    0.002    0.000    0.010    0.000 colors.py:697(from_list)
     3120    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      955    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      661    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     4900    0.002    0.000    0.004    0.000 sre_parse.py:247(get)
  1214/13    0.002    0.000    0.827    0.064 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      430    0.002    0.000    0.003    0.000 copy.py:269(_reconstruct)
     1208    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__init__)
       60    0.002    0.000    0.002    0.000 function_base.py:25(linspace)
  808/765    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       96    0.002    0.000    0.022    0.000 text.py:280(_get_layout)
      526    0.001    0.000    0.005    0.000 fromnumeric.py:64(_wrapreduction)
     8129    0.001    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      232    0.001    0.000    0.005    0.000 artist.py:885(update)
      790    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
       12    0.001    0.000    0.003    0.000 enum.py:88(__new__)
     3782    0.001    0.000    0.002    0.000 inspect.py:2709(<genexpr>)
      199    0.001    0.000    0.002    0.000 artist.py:82(__init__)
     1325    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      661    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      790    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      349    0.001    0.000    0.003    0.000 functools.py:43(update_wrapper)
       62    0.001    0.000    0.006    0.000 lines.py:637(recache)
   562/52    0.001    0.000    0.758    0.015 {built-in method builtins.__import__}
      111    0.001    0.000    0.059    0.001 _distn_infrastructure.py:706(_construct_doc)
     3592    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
  472/215    0.001    0.000    0.023    0.000 sre_parse.py:429(_parse_sub)
      410    0.001    0.000    0.018    0.000 artist.py:1142(get_valid_values)
      333    0.001    0.000    0.004    0.000 inspect.py:1750(_signature_bound_method)
     1427    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
     2982    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:856(__exit__)
       46    0.001    0.000    0.011    0.000 text.py:694(draw)
      215    0.001    0.000    0.044    0.000 sre_compile.py:531(compile)
     1452    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:406(cached)
      429    0.001    0.000    0.006    0.000 pyparsing.py:1144(copy)
       32    0.001    0.000    0.010    0.000 lines.py:721(draw)
      450    0.001    0.000    0.001    0.000 function_base.py:1912(__init__)
     1188    0.001    0.000    0.001    0.000 transforms.py:83(__init__)
      215    0.001    0.000    0.004    0.000 sre_compile.py:412(_compile_info)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1781    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      475    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1159    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      487    0.001    0.000    0.002    0.000 transforms.py:1870(__init__)
     1840    0.001    0.000    0.004    0.000 re.py:160(match)
      534    0.001    0.000    0.002    0.000 font_manager.py:847(_json_decode)
     1792    0.001    0.000    0.004    0.000 colors.py:100(_is_nth_color)
      431    0.001    0.000    0.005    0.000 copy.py:67(copy)
   164/36    0.001    0.000    0.003    0.000 abc.py:194(__subclasscheck__)
     2982    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:852(__enter__)
      717    0.001    0.000    0.004    0.000 abc.py:178(__instancecheck__)
      428    0.001    0.000    0.001    0.000 font_manager.py:1052(<listcomp>)
      983    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      547    0.001    0.000    0.034    0.000 _decorators.py:300(__call__)
        1    0.001    0.001    0.005    0.005 frame.py:248(DataFrame)
     7565    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.001    0.001    0.002    0.002 dbscan.py:13(<listcomp>)
     5812    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      132    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
     1043    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:170(__exit__)
       47    0.001    0.000    0.001    0.000 my_exceptions.py:61(_mk_exception)
        1    0.001    0.001    0.001    0.001 backend_agg.py:81(__init__)
     2647    0.001    0.000    0.001    0.000 core.py:1280(_replace_dtype_fields_recursive)
  371/243    0.001    0.000    0.001    0.000 transforms.py:134(_invalidate_internal)
      215    0.001    0.000    0.025    0.000 sre_parse.py:819(parse)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       12    0.001    0.000    0.005    0.000 artist.py:1114(get_aliases)
  206/148    0.001    0.000    0.003    0.000 transforms.py:2457(get_affine)
       32    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        6    0.001    0.000    0.001    0.000 linalg.py:468(inv)
     1312    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
       27    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      940    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       99    0.001    0.000    0.002    0.000 path.py:193(_update_values)
  385/379    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
      157    0.001    0.000    0.002    0.000 transforms.py:757(__init__)
      353    0.001    0.000    0.001    0.000 transforms.py:161(set_children)
     3230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       64    0.001    0.000    0.002    0.000 transforms.py:697(translated)
      280    0.001    0.000    0.001    0.000 font_manager.py:618(__hash__)
      662    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.001    0.001    0.001    0.001 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     4980    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2780    0.001    0.000    0.001    0.000 sre_parse.py:242(match)
      307    0.001    0.000    0.001    0.000 contextlib.py:37(__init__)
      451    0.001    0.000    0.001    0.000 artist.py:1204(_replace_path)
      464    0.001    0.000    0.001    0.000 __init__.py:1981(_setattr_cm)
     6302    0.001    0.000    0.001    0.000 inspect.py:2434(name)
      329    0.001    0.000    0.001    0.000 {method 'getint' of '_tkinter.tkapp' objects}
     1323    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       39    0.001    0.000    0.005    0.000 __init__.py:1613(param)
     2655    0.001    0.000    0.002    0.000 core.py:1359(getmask)
     1270    0.001    0.000    0.001    0.000 colors.py:220(<genexpr>)
      126    0.001    0.000    0.005    0.000 deprecation.py:178(deprecate)
     2096    0.001    0.000    0.001    0.000 sre_parse.py:165(append)
     2145    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
       12    0.001    0.000    0.001    0.000 artist.py:1125(<listcomp>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      492    0.001    0.000    0.006    0.000 rcsetup.py:358(validate_color)
       30    0.001    0.000    0.035    0.001 axis.py:72(__init__)
      290    0.001    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
       99    0.001    0.000    0.003    0.000 font_manager.py:572(__init__)
      940    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     2647    0.001    0.000    0.004    0.000 core.py:1326(make_mask_descr)
     6472    0.001    0.000    0.001    0.000 inspect.py:2446(kind)
      662    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
       11    0.001    0.000    0.042    0.004 artist.py:1268(pprint_setters)
     2319    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      229    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
      132    0.001    0.000    0.001    0.000 deprecation.py:23(_generate_deprecation_message)
       29    0.001    0.000    0.001    0.000 {built-in method io.open}
     4177    0.001    0.000    0.001    0.000 artist.py:728(get_animated)
        2    0.001    0.000    0.001    0.000 {built-in method gc.collect}
       86    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
        1    0.001    0.001    0.004    0.004 generic.py:102(NDFrame)
        4    0.001    0.000    0.015    0.004 core.py:2821(<listcomp>)
     1416    0.001    0.000    0.001    0.000 sre_parse.py:276(tell)
      662    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
      282    0.001    0.000    0.005    0.000 sre_compile.py:221(_compile_charset)
     1070    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
     3997    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     2644    0.001    0.000    0.001    0.000 fromnumeric.py:1656(shape)
        8    0.001    0.000    0.012    0.001 ticker.py:1923(_raw_ticks)
     1345    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.001    0.001    0.043    0.043 core.py:12(<module>)
